Ticker,Sector,Price,Volume,Fifty Day Average
BEAT,Healthcare,2.31,155385,1.814
BEATW,-1,-1,11552,-1
BECN,Industrials,94.81,668911,85.8374
BEEM,Technology,6.98,63721,6.8646
BEEMW,Technology,0.7927,6584,-1
BEEZ,-1,-1,1601,29.41672
BELFA,Technology,72.65,7271,67.2562
BELFB,Technology,59.01,134754,62.2464
BENF,Financial Services,0.0719,3594858,0.2419
BENFW,Financial Services,0.0072,11976,-1
BETR,Financial Services,0.472,720530,0.55234
BETRW,Financial Services,0.13,3701,-1
BFC,Financial Services,84.55,18557,84.7018
BFI,Consumer Cyclical,0.582,73348,0.65408
BFIIW,Consumer Cyclical,0.0301,735,-1
BFIN,Financial Services,10.45,6986,10.294
BFRG,Healthcare,3.82,83306,4.4377
BFRGW,-1,-1,11532,-1
BFRI,Healthcare,1.25,29876,1.26102
BFRIW,Healthcare,0.0513,14018,-1
BFST,Financial Services,22.39,38054,22.2974
BGC,Financial Services,8.29,3520641,7.4174
BGFV,Consumer Cyclical,3.69,274627,4.838
BGLC,Basic Materials,0.7548,84128,0.66162
BGNE,Healthcare,163.7,190005,160.3216
BGRN,-1,-1,16096,46.7508
BGXX,Healthcare,0.29,419980,0.23328
BHAC,Financial Services,10.47,688,10.447
BHACU,Financial Services,10.47,-1,10.2852
BHACW,Financial Services,0.07,57852,-1
BHAT,Communication Services,1.05,15542,1.057
BHF,Financial Services,49.13,394681,49.3658
BHFAL,-1,23.42,17446,22.8958
BHFAM,Financial Services,16.69,43400,16.46624
BHFAN,Financial Services,20.22,37890,19.65914
BHFAO,Financial Services,25.02,24485,24.62436
BHFAP,Financial Services,24.5,24141,23.99082
BHRB,Financial Services,56.07,14329,56.4672
BIAF,Healthcare,2.04,194985,1.71716
BIAFW,Healthcare,0.7314,6891,-1
BIB,-1,-1,15100,57.9898
BIDU,Communication Services,101.7,2542446,105.6878
BIGC,Technology,7.45,343605,8.0722
BIIB,Healthcare,220.75,994897,233.59
BILI,Communication Services,11.2,27384574,10.3256
BIMI,Healthcare,1.84,77051,2.9244
BIOL,Healthcare,0.15,1920328,0.4644
BIOR,Healthcare,1.19,158961,1.0437
BIOX,Basic Materials,12.85,50666,13.204
BIRD,Consumer Cyclical,0.7362,958615,0.93722
BIS,-1,-1,1766,17.6798
BITF,Financial Services,2.4,27209556,2.6146
BITS,-1,-1,16868,57.1633
BIVI,Healthcare,0.5675,1651708,1.0538
BJDX,Healthcare,0.8358,7130,0.83544
BJK,-1,-1,6271,42.8772
BJRI,Consumer Cyclical,35.51,276893,34.9428
BKCH,-1,-1,110911,41.8854
BKHAU,-1,-1,7139223,-1
BKIV,-1,-1,443,30.29528
BKNG,Consumer Cyclical,3647.81,304207,3566.3257
